Philip Kaufman,$163.2
Suraj Sharma,$161.4
Greta Gerwig,$156.2
Peter Krause,$155.6
Cody Horn,$154.9
Analeigh Tipton,$151.8
Katie Cassidy,$150.4
Gillian Anderson,$145.7
Corey Haim,$141.1
Jeremy Sumpter,$139.9
Ron Howard,$139.1
Nicki Minaj,$137.9
Imogen Poots,$136.5
Penn Badgley,$134.6
John R. Leonetti,$134.4
Romola Garai,$134.4
Elisabeth Moss,$132.8
Gabourey Sidibe,$132.5
Noah Ringer,$131.8
Dianna Agron,$131.6
Chris Farley,$129.7
Sophie Cookson,$128.3
Kate Upton,$128.2
Sean 'P. Diddy' Combs,$126.4
Lance Reddick,$120.6
Nikki Blonsky,$118.9
Rob Reiner,$116.9
Eminem,$116.8
Sarah Polley,$116.2
Mark Duplass,$114.9
Thomas Dekker,$112.4
Max Records,$107.7
Gael Garcia Bernal,$107.1
Jay Chou,$105.3
Dustin Ingram,$104.1
Sophie Okonedo,$103.5
Shiloh Fernandez,$102.5
Alyson Michalka,$100.9
Jenna Dewan-Tatum,$100.5
Katee Sackhoff,$100.1
Chloe Sevigny,$98.6
Max Irons,$98.2
Rachel Bilson,$95.3
Keith Gordon,$91.3
Roberto Benigni,$88.9
Portia Doubleday,$88.6
Prince,$87.9
Goran Visnjic,$86.1
Ryan Guzman,$85.4
Gina Rodriguez,$84.7
Tupac Shakur,$83.1
Julie Delpy,$80.5
Werner Herzog,$80.4
Justin Bieber,$79.2
Chace Crawford,$78.3
Alex Kendrick,$78.2
Quinton 'Rampage' Jackson,$77.3
Jason O'Mara,$77.1
Wilmer Valderrama,$76.8
Matt LeBlanc,$73.6
Sarah Paulson,$72.5
Dean Norris,$72.4
Keenen Ivory Wayans,$69.2
Cecile de France,$67.4
Garry Marshall,$67.2
Grant Heslov,$67.1
Katherine McPhee,$67.1
Sofia Coppola,$66.7
Taylor Schilling,$66.2
Kenny Wormald,$64.4
Emilie de Ravin,$64.0
Mary-Kate Olsen,$63.5
Carlos Mencia,$57.0
Callan McAuliffe,$56.9
Elisabeth Rohm,$56.5
Ashley Bell,$56.2
Melissa Benoist,$50.5
Matthias Schoenaerts,$49.4
Matisyahu,$49.1
Naturi Naughton,$47.2
Rhys Wakefield,$46.7
Carrie Underwood,$43.9
Scott Mescudi,$43.7
M. Night Shyamalan,$42.3
Colin Egglesfield,$39.1
Minka Kelly,$38.4
Seu Jorge,$36.1
Claire Foy,$32.6
Thomas Horn,$31.8
Ellen Wong,$31.5
Jason Momoa,$30.8
Quentin Tarantino,$28.7
Tom Sturridge,$23.7
Leigh Whannell,$22.5
Crystal Reed,$21.5
Mike Binder,$19.1
Jessica Brown Findlay,$18.4
Demetri Martin,$17.4
Brit Marling,$17.2
Kang-ho Song,$14.1
Harold Ramis,$11.6
Aimee Teegarden,$10.2
Akiva Schaffer,$9.6
John Cameron Mitchell,$9.3
Josh Zuckerman,$8.4
John Wayne,$8.2
Tracy Letts,$5.2
Vincent Gallo,$5.1
Miranda July,$4.5
Emily Ratajkowski,$3.6
Macon Blair,$3.5
Bel Powley,$1.8
Jim Jarmusch,$1.3
Prabhu Dheva,$892k
Josh Radnor,$718k
Morgan Spurlock,$638k
Mike Nichols,$215k
Brian De Palma,$165k
Michael Moore,$149k
David Wain,$101k
Sebastián Silva,$79.8k
Eli Roth,$58.5k
Jay Chandrasekhar,$41.6k
Alex Ross Perry,$28.2k
Nick Jonas,$23.0k
Joseph Schneider,$15.0k
Rory Kinnear,$5.7k
